v1	v2
"Manufactured home"	"EconomicOperands"
"Margin"	"EconomicOperands"
"Markets"	"EconomicOperands"
"Material loss"	"EconomicOperands"
"Measure"	"EconomicOperands"
"Measurement"	"EconomicOperands"
"Member"	"EconomicOperands"
"Member agency"	"EconomicOperands"
"Members"	"EconomicOperands"
"Merger"	"EconomicOperands"
"Method"	"EconomicOperands"
"Methodology"	"EconomicOperands"
"Minority"	"EconomicOperands"
"Minority-owned business"	"EconomicOperands"
"Modification"	"EconomicOperands"
"Modifications"	"EconomicOperands"
"Modular home"	"EconomicOperands"
"Monetary sanctions"	"EconomicOperands"
"Money laundering"	"EconomicOperands"
"Monitoring"	"EconomicOperands"
"Mortgage originator"	"EconomicOperands"
"Mortgage-Backed Securities"	"EconomicOperands"
"Motor vehicle"	"EconomicOperands"
"Motor vehicle dealer"	"EconomicOperands"
"NAIC"	"EconomicOperands"
"NASAA"	"EconomicOperands"
"National bank"	"EconomicOperands"
"National banks"	"EconomicOperands"
"Nationwide Mortgage Licensing System and Registry"	"EconomicOperands"
"Network fee"	"EconomicOperands"
"New"	"EconomicOperands"
"Non-Admitted Insurance Model Act"	"EconomicOperands"
"Non-United States insurer"	"EconomicOperands"
"Non-admitted insurance model act"	"EconomicOperands"
"Nonadmitted insurance"	"EconomicOperands"
"Nonadmitted insurer"	"EconomicOperands"
"Nonbank"	"EconomicOperands"
"Nonbank Financial company"	"EconomicOperands"
"Nonbank financial company"	"EconomicOperands"
"Nonbank financial company supervised by the Board of Governors"	"EconomicOperands"
"Nonbank financial company supervised by the board"	"EconomicOperands"
"Nonbank financial company supervised by the board of governors"	"EconomicOperands"
"Nonfinancial"	"EconomicOperands"
"Noninterest-bearing transaction account"	"EconomicOperands"
"Nonprofit organization"	"EconomicOperands"
"Nonvoting member"	"EconomicOperands"
"Nonvoting members"	"EconomicOperands"
"Notice"	"EconomicOperands"
"Notices"	"EconomicOperands"
"OCC"	"EconomicOperands"
"OTS"	"EconomicOperands"
"Oath"	"EconomicOperands"
"Objectives"	"EconomicOperands"
"Obligation"	"EconomicOperands"
"Obligations"	"EconomicOperands"
"Off-balance-sheet activities"	"EconomicOperands"
"Office"	"EconomicOperands"
"Office of Financial Research"	"EconomicOperands"
"Office of the Comptroller of the Currency"	"EconomicOperands"
"Office of the comptroller of the currency"	"EconomicOperands"
"Offices"	"EconomicOperands"
"Operating"	"EconomicOperands"
"Operation"	"EconomicOperands"
"Operations"	"EconomicOperands"
"Opportunity"	"EconomicOperands"
"Order"	"EconomicOperands"
"Orderly liquidation authority"	"EconomicOperands"
